Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
1. A precious stone,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-647,,Overall,First,,-329,-150,-168
Diamond(s),0.92,0.5,4.2,4.8,1.8,0.92,0.91,0.94
Ruby,0.78,0.15,3.5,4.1,2.5,0.74,0.79,0.84
Emerald(s),0.51,0.06,4.4,5.5,3.1,0.49,0.45,0.6
Sapphire(s),0.49,0.02,5,5.4,3.6,0.51,0.39,0.54
Pearl(s),0.22,0.01,4.5,8.7,3.9,0.21,0.23,0.23
Gem(stone),0.19,0.11,4,3.8,1.8,0.17,0.27,0.13
 Gem(s),0.17,0.11,3.8,3.6,1.7,0.16,0.23,0.13
 Gemstone,0.02,0.01,6.6,5.7,2.4,0.01,0.05,0
Amethyst(s),0.18,0.02,5.9,6,3.9,0.19,0.18,0.17
Opal,0.18,0.01,4.4,4.6,4.1,0.18,0.27,0.1
Gold,0.14,0.02,4.6,3.6,3.4,0.16,0.11,0.12
Topaz,0.12,0.01,4.8,4.4,4.2,0.14,0.11,0.1
Garnet,0.11,0.01,5.2,5,4.6,0.11,0.09,0.11
Silver,0.08,,2.9,,4.5,0.09,0.07,0.08
Jade,0.06,,5.2,,4,0.07,0.05,0.05
Quartz,0.06,,6.5,,4.1,0.08,0.06,0.04
Turquoise,0.05,0.01,8.6,9,4.3,0.07,0.05,0.02
,,,,,,,,
2. A unit of time,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-693,,Overall,First,,-370,-148,-175
Hour(s),0.98,0.12,2.4,3.8,2.8,0.98,0.99,0.95
Sec(onds),0.97,0.46,3.3,4.3,1.9,0.97,1,0.95
 Second(s),0.95,0.45,3.3,4.3,1.9,0.94,0.97,0.95
 Sec,0.02,0.01,3.4,4.4,2,0.04,0.03,0
Minute(s),0.96,0.36,3.1,4,1.9,0.96,0.97,0.94
Year(s),0.82,,2.1,,6,0.88,0.82,0.68
Day,0.8,,2.5,,4.4,0.85,0.84,0.67
Month(s),0.64,,2.3,,6,0.69,0.64,0.55
Decade(s),0.51,,3.5,,7.5,0.52,0.57,0.45
Century/ies,0.46,,3.7,,8,0.5,0.47,0.37
 Century,0.38,,3.7,,8,0.42,0.36,0.32
 Centuries,0.08,,4,,7.9,0.08,0.1,0.05
Week(s),0.46,,2.2,,6,0.46,0.53,0.41
Millisecond(s),0.39,0.01,5.1,6.1,5.5,0.41,0.46,0.29
Millennium,0.25,,4,,8.5,0.24,0.37,0.17
Nanosecond(s),0.07,,4.8,,6.7,0.08,0.06,0.06
Eon(s),0.05,,3.2,,7.1,0.06,0.07,0.02
,,,,,,,,
3. A relative,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-642,,Overall,First,,-322,-150,-170
Uncle,0.95,0.1,2.3,4,4.2,0.97,0.97,0.91
Aunt(s),0.93,0.27,2.4,3.4,3.6,0.95,0.93,0.9
Cousin,0.85,0.12,2.9,3.9,5.4,0.85,0.9,0.79
Mom/mother,0.8,0.32,2.4,3.1,3,0.8,0.75,0.82
 Mom,0.43,0.22,2.4,2.9,2.6,0.45,0.36,0.44
 Mother,0.37,0.1,2.4,3.5,3.4,0.36,0.39,0.38
Grandma/mother,0.79,0.04,3.7,4.9,5.9,0.8,0.77,0.79
 Grandma(s),0.41,0.03,3.4,5,5.6,0.5,0.27,0.35
 Grandmother,0.38,0.01,3.9,5,6.3,0.3,0.49,0.43
 Grandmom,0.01,,6.5,,6.2,0,0.01,0.01
Dad/father,0.77,0.04,1.7,3.2,3.7,0.77,0.72,0.83
 Dad,0.42,0.01,1.5,3.2,3.5,0.44,0.35,0.45
 Father,0.35,0.03,1.9,3.2,4,0.33,0.37,0.38
Grandfather/pa,0.74,0.01,3.4,4.8,6.5,0.75,0.72,0.76
 Grandfather,0.36,,3.6,,6.7,0.29,0.46,0.42
 Grandpa,0.36,0.01,3.2,5,6.2,0.45,0.25,0.3
 Granddad,0.02,,3.9,,6.4,0.01,0.01,0.04
Sister,0.74,0.03,2.1,4.1,5,0.75,0.71,0.75
Brother,0.72,0.02,2.5,4.3,5.1,0.72,0.71,0.74
Niece,0.32,,3,,8,0.3,0.37,0.32
Nephew(s),0.3,,3.2,,7.9,0.28,0.36,0.3
Great aunt,0.09,,4.9,,8.7,0.07,0.13,0.08
Grandparent(s),0.08,,4.8,,5.6,0.08,0.09,0.06
Great grandma/mother,0.08,,5.1,,9.3,0.05,0.07,0.12
 Great grandma,0.04,,5.3,,8.6,0.04,0.01,0.06
 Great grandmother,0.04,,4.9,,10.2,0.02,0.06,0.06
Son,0.08,,2.6,,8.3,0.09,0.09,0.08
Daughter,0.07,,3.2,,8.4,0.07,0.07,0.08
Second cousin,0.06,,4.7,,8.4,0.05,0.07,0.06
Great grandfather/pa,0.05,,4.5,,9.7,0.04,0.05,0.07
 Great grandfather,0.03,,4.6,,10.1,0.02,0.03,0.04
 Great grandpa,0.02,,4.4,,9.2,0.02,0.01,0.03
Great uncle,0.05,,3.6,,9.6,0.04,0.07,0.04
,,,,,,,,
4. A unit of distance,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-654,,Overall,First,,-336,-150,-168
Mile(s),0.89,0.29,2.9,3.6,3.1,0.9,0.92,0.86
Meter(s),0.85,0.35,3.1,3.7,2.6,0.89,0.85,0.77
Inch(es),0.82,0.1,2.9,4.2,3.5,0.85,0.8,0.76
Foot/feet,0.79,0.13,2.9,3.7,3.5,0.82,0.8,0.73
 Foot,0.54,0.07,2.7,3.5,3.5,0.6,0.48,0.47
 Feet,0.25,0.06,3.3,3.9,3.3,0.22,0.32,0.26
Kilometer(s),0.74,0.04,4.4,6.1,4.3,0.75,0.73,0.74
Centimeter(s),0.73,0.04,4.8,6,4.3,0.74,0.77,0.65
Yard(s),0.65,0.02,3.4,4.5,4.4,0.64,0.66,0.64
Millimeter(s),0.45,0.01,4.7,5.3,5.3,0.49,0.45,0.37
Decimeter(s),0.08,,4.7,,6.4,0.07,0.08,0.1
Light year(s),0.05,,4.3,,6.3,0.05,0.07,0.02
Micrometer(s),0.02,,4.6,,5.8,0.01,0.03,0.01
Nanometer(s),0.02,,4.1,,5,0.01,0.04,0.02
,,,,,,,,
5. A metal,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-697,,Overall,First,,-369,-146,-182
Steel,0.62,0.21,4.1,4.8,2.6,0.66,0.59,0.55
Iron,0.57,0.23,3.9,4.4,2.4,0.6,0.55,0.53
Silver,0.55,0.06,3.5,5.3,3.5,0.54,0.55,0.58
Copper,0.53,0.11,4.1,4.4,2.9,0.51,0.53,0.57
Gold,0.53,0.09,3.2,4.3,3.1,0.52,0.5,0.57
Aluminum,0.43,0.08,6.4,7,3.3,0.41,0.46,0.44
Platinum,0.17,0.01,5.1,7.1,4.6,0.17,0.17,0.16
Titanium,0.17,0.02,6,6.4,4,0.22,0.16,0.09
Tin,0.15,0.03,3.8,4.8,3.6,0.14,0.15,0.18
Bronze,0.14,0.01,4.3,5.1,4.3,0.15,0.12,0.14
Nickel,0.13,0.02,4.7,4.8,3.8,0.11,0.21,0.11
Lead,0.1,0.01,3.7,5.1,3.6,0.11,0.1,0.08
Brass,0.09,0.01,4.6,5.6,3.6,0.08,0.05,0.13
Zinc,0.09,0.02,4.3,4.9,3.8,0.08,0.13,0.1
,,,,,,,,
6. A type of reading material,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-647,,Overall,First,,-338,-148,-161
Magazine(s),0.93,0.11,3.6,5,2.3,0.92,0.95,0.93
Book(s),0.92,0.77,3.5,3.6,1.3,0.91,0.94,0.92
Newspaper(s),0.71,0.04,4.6,5.4,3.2,0.72,0.74,0.65
Novel,0.26,0.04,4.1,5.4,3.5,0.23,0.24,0.35
Journal(s),0.21,,4.6,,4.1,0.15,0.39,0.16
Article,0.17,,5.2,,4.2,0.18,0.16,0.18
Textbook(s),0.17,0.01,5.3,6,4.2,0.23,0.14,0.09
Pamphlet(s),0.13,,6.4,,4.2,0.14,0.11,0.12
Internet related,0.09,,5.9,,4.5,0.09,0.11,0.08
 Internet,0.05,,5.1,,4.5,0.05,0.05,0.05
 Web site,0.03,,6.1,,4.6,0.02,0.07,0.02
 Internet article(s),0.02,,8.3,,4.4,0.02,0,0.01
Paper(s),0.08,,5.3,,4.2,0.07,0.07,0.09
Comic (book),0.06,,4.2,,4.5,0.06,0.06,0.06
 Comic(s),0.03,,4,,4.6,0.04,0.03,0.03
 Comic book,0.02,,4.4,,4.4,0.02,0.03,0.03
Encyclopedia,0.06,,6.7,,4.4,0.06,0.11,0.03
Essay(s),0.06,,3.9,,4.5,0.05,0.03,0.11
Flyer(s),0.06,,5.1,,4.7,0.05,0.07,0.06
Letter(s),0.06,,4.3,,4.7,0.06,0.07,0.04
Periodical(s),0.06,,5.7,,4.1,0.06,0.07,0.03
Short story,0.05,,5.5,,4.5,0.03,0.05,0.09
,,,,,,,,
7. A military title,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-660,,Overall,First,,-333,-149,-178
Sergeant,0.6,0.24,5.5,6.4,2.3,0.59,0.64,0.61
General(s),0.55,0.21,4.5,5.6,2.4,0.57,0.58,0.48
Lieutenant,0.55,0.09,6.3,7.5,2.9,0.56,0.6,0.48
Captain,0.43,0.15,4.8,5.5,2.5,0.4,0.51,0.44
Private,0.4,0.03,4,6.2,3.4,0.43,0.35,0.38
Colonel,0.33,0.08,5.1,5.8,2.6,0.34,0.34,0.31
Major,0.2,0.02,4.1,6.2,3.5,0.21,0.2,0.2
Corporal,0.18,0.01,4.4,6.9,3.4,0.21,0.16,0.15
Officer,0.18,0.05,5,5.4,2.9,0.2,0.21,0.13
Commander,0.16,0.03,5.1,7.5,3.3,0.17,0.18,0.11
Admiral,0.09,0.01,4.6,8,3.8,0.11,0.07,0.08
Chief,0.08,,4.2,,3.7,0.07,0.13,0.06
Soldier,0.08,0.01,5.5,8,3.7,0.07,0.11,0.09
Cadet,0.06,0.01,3.8,4.5,3.7,0.05,0.11,0.04
,,,,,,,,
8. A four-footed animal,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-703,,Overall,First,,-372,-150,-181
Dog(s),0.98,0.65,3,3.5,1.6,0.97,0.98,0.98
Cat(s),0.97,0.14,1.7,3.2,2.3,0.95,0.97,0.99
Horse(s),0.52,0.07,3.2,3.8,4,0.52,0.52,0.5
Lion(s),0.41,,3.2,,5.4,0.42,0.45,0.36
Bear(s),0.37,0.03,3.1,4.3,5.1,0.42,0.36,0.27
Tiger(s),0.36,0.01,2.8,5.5,5.7,0.36,0.39,0.34
Cow(s),0.35,0.02,2.5,4.1,5,0.35,0.33,0.38
Elephant(s),0.28,0.01,4.3,5.2,5.4,0.29,0.27,0.27
Deer,0.23,0.02,3.1,5.1,5.5,0.26,0.21,0.21
Mouse,0.23,,3.5,,5.4,0.27,0.21,0.17
Pig(s),0.21,0.01,3,3.5,5.5,0.16,0.27,0.27
Rat(s),0.19,,3,,5.5,0.19,0.21,0.18
Giraffe,0.16,,4.4,,6,0.19,0.13,0.14
Squirrel(s),0.15,,5.4,,5.9,0.14,0.17,0.16
Rabbit,0.14,,4.4,,5.4,0.12,0.11,0.22
Goat,0.13,,3.1,,5.7,0.14,0.09,0.14
Zebra(s),0.13,,4.5,,5.6,0.12,0.14,0.14
Moose,0.11,,2.9,,6.5,0.15,0.05,0.08
Sheep,0.1,,3,,6.8,0.09,0.13,0.08
Cheetah(s),0.09,,4,,5.8,0.08,0.13,0.07
Raccoon(s),0.09,,4.9,,6.1,0.11,0.09,0.04
Wolf,0.09,,3.5,,5.8,0.11,0.09,0.06
Fox,0.08,,3.6,,6.1,0.08,0.1,0.07
Hamster(s),0.08,,5.3,,6.2,0.07,0.07,0.11
Donkey(s),0.07,,3.6,,5.7,0.06,0.08,0.09
Elk,0.07,,2.6,,7,0.12,0.01,0.01
Lizard,0.06,,5.4,,5.6,0.05,0.05,0.07
Turtle,0.06,,4.5,,5.5,0.04,0.07,0.08
,,,,,,,,
9. A type of fabric,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-660,,Overall,First,,-346,-146,-168
Cotton,0.96,0.45,3.8,4.6,2,0.94,0.96,0.98
Silk,0.7,0.2,3.6,4.4,2.6,0.68,0.68,0.75
Polyester(s),0.58,0.02,5.4,7.2,3.6,0.59,0.6,0.55
Wool,0.5,0.1,3.8,4.6,3.2,0.48,0.55,0.48
Nylon,0.26,0.02,4.5,5.4,3.8,0.24,0.26,0.3
Rayon,0.19,0.01,4,6.1,3.7,0.23,0.16,0.15
Satin,0.17,0.02,3.8,3.7,3.6,0.18,0.17,0.15
Spandex,0.17,,5.5,,4.8,0.18,0.14,0.18
Denim,0.14,0.01,5.3,5.9,4.3,0.15,0.14,0.11
Leather,0.13,0.01,5,3.9,4.5,0.13,0.11,0.14
Linen,0.12,0.02,4.2,5.4,3.4,0.12,0.13,0.13
Fleece,0.11,0.01,5.1,6.2,4,0.13,0.11,0.05
Velvet,0.1,0.02,4.6,5.9,3.7,0.1,0.1,0.09
Jean,0.08,,4.7,,4.3,0.09,0.05,0.08
Suede,0.08,0.01,4.3,5.7,4.1,0.09,0.05,0.1
Cashmere,0.07,,5.2,,4,0.06,0.08,0.07
Cloth,0.06,0.03,5.1,6.8,2.2,0.06,0.08,0.04
Flannel,0.05,0.01,4.9,5.1,3.9,0.07,0.04,0.03
Lace,0.05,0.01,3,3.8,4.1,0.04,0.05,0.08
Lycra,0.05,,4.3,,4.6,0.05,0.07,0.05
,,,,,,,,
10. A color,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-666,,Overall,First,,-344,-150,-172
Blue,1,0.35,2.2,2.8,2.6,0.99,1,1
Red,0.96,0.46,1.9,2.4,2.3,0.96,0.97,0.94
Green,0.93,0.07,2.3,2.9,4,0.93,0.95,0.9
Yellow,0.92,0.02,2.6,3.9,4.9,0.92,0.96,0.88
Purple,0.83,0.05,3.2,3.6,5.5,0.84,0.79,0.84
Orange,0.82,,2.8,,5.5,0.8,0.88,0.83
Black,0.77,0.02,2.4,2.8,6.4,0.72,0.8,0.84
White,0.6,,2.2,,7.1,0.56,0.65,0.64
Pink,0.54,,2.7,,6.9,0.52,0.49,0.64
Brown,0.4,,2.8,,7.5,0.37,0.44,0.44
Gray/grey,0.26,,2.9,,8.3,0.26,0.3,0.23
 Gray,0.16,,2.9,,8.2,0.11,0.18,0.23
 Grey,0.1,,2.8,,8.5,0.15,0.12,0
Violet,0.2,,3.8,,7.5,0.22,0.24,0.12
Silver,0.15,,3.1,,9.1,0.15,0.18,0.14
Gold,0.13,,2.1,,8.9,0.14,0.14,0.09
Indigo,0.11,,3.5,,7.7,0.1,0.15,0.1
Magenta,0.11,,3.4,,8.4,0.13,0.1,0.1
Turquoise,0.09,,5.2,,8.6,0.08,0.11,0.08
Maroon,0.08,,3.4,,8.9,0.1,0.08,0.04
Teal,0.08,,2.8,,8.6,0.05,0.07,0.13
Tan,0.06,,2.4,,9.2,0.05,0.09,0.06
Aqua,0.05,,3.8,,8.7,0.04,0.07,0.06
Fuchsia,0.05,,3.7,,8.3,0.04,0.06,0.06
,,,,,,,,
11. A kitchen utensil,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-653,,Overall,First,,-337,-150,-166
Knife(ves),0.95,0.18,2.9,4,2.4,0.95,0.93,0.95
Fork(s),0.93,0.52,2.8,3.1,1.8,0.91,0.94,0.97
Spoon(s),0.93,0.2,3,4.2,2.5,0.93,0.93,0.95
Spatula(s),0.55,0.06,4.9,5.4,4,0.58,0.47,0.54
Pan(s),0.22,0.01,2.6,7.2,5.3,0.21,0.22,0.25
Pot(s),0.2,0.01,2.9,5,5,0.17,0.25,0.23
Whisk,0.15,,4.5,,5.1,0.2,0.11,0.08
Blender(s),0.14,,4.2,,5.3,0.15,0.13,0.11
Bowl(s),0.14,,3.5,,5.7,0.15,0.09,0.16
Ladle,0.14,,4.9,,4.6,0.17,0.14,0.09
Plate(s),0.13,,3.6,,5.5,0.12,0.12,0.16
Cutting board,0.09,,6.6,,5.5,0.09,0.08,0.08
Tongs,0.08,,4.7,,5,0.07,0.07,0.08
Can opener,0.07,,6.8,,5.3,0.08,0.08,0.05
Mixer,0.07,,4.9,,5.5,0.08,0.05,0.08
Strainer/colander,0.07,,5.3,,5.8,0.07,0.08,0.07
 Strainer,0.06,,5.4,,5.7,0.05,0.07,0.05
 Colander,0.02,,5.2,,6,0.02,0.01,0.02
Cup(s),0.06,,3.6,,6.1,0.05,0.07,0.06
Measuring cup(s),0.06,,6.3,,5.6,0.07,0.04,0.04
Stove,0.05,,4.1,,5.7,0.04,0.05,0.07
,,,,,,,,
12. A building for religious services,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-647,,Overall,First,,-331,-149,-167
Church,1,0.79,4.5,4.8,1.3,0.99,1,1
Temple(s),0.67,0.11,4.2,4.3,2.5,0.7,0.75,0.55
Synagogue(s),0.54,0.04,5.7,6,2.6,0.58,0.58,0.44
Mosque(s),0.41,0.02,4.8,5.5,2.9,0.41,0.59,0.25
Cathedral(s),0.2,,7.6,,3.2,0.22,0.13,0.22
Chapel,0.18,0.02,5.3,5.8,3.1,0.18,0.23,0.16
Monastery,0.07,,6.8,,3.3,0.06,0.09,0.06
House/home,0.05,,6.1,,4.1,0.04,0.03,0.08
 House(s),0.03,,6.9,,4,0.02,0.02,0.04
 Home,0.02,,5.2,,4.2,0.02,0.01,0.04
Sanctuary,0.05,,6.5,,3.2,0.04,0.03,0.07
,,,,,,,,
13. A part of speech,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-663,,Overall,First,,-368,-143,-152
Noun(s),0.7,0.36,3.5,4.6,1.8,0.68,0.78,0.68
Verb(s),0.7,0.24,3.5,5.4,2.1,0.68,0.81,0.65
Adjective(s),0.56,0.02,4.4,8.3,3.4,0.56,0.64,0.49
Adverb(s),0.41,0.01,3.8,7.2,4.2,0.39,0.55,0.32
Pronoun(s),0.36,,4.3,,4,0.33,0.45,0.36
Preposition,0.11,0.01,5.5,7.8,4.4,0.12,0.12,0.09
Conjunction(s),0.1,,5.8,,5.2,0.12,0.1,0.07
Subject,0.1,0.01,5.5,9.2,4.2,0.1,0.1,0.09
Word(s),0.09,0.04,5.3,7.6,2.2,0.09,0.09,0.08
Sentence(s),0.08,0.02,5.5,10,3.3,0.07,0.08,0.09
Participle,0.06,,5.5,,4.3,0.05,0.1,0.05
Vowel(s),0.05,0.03,7.2,10.2,2.2,0.05,0.06,0.05
,,,,,,,,
14. An article of furniture,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-700,,Overall,First,,-371,-149,-180
Chair(s),0.9,0.41,3.4,4.2,2,0.92,0.92,0.86
Table,0.75,0.05,3.2,4.1,3.5,0.75,0.82,0.68
Couch,0.7,0.31,3.8,4.6,2.3,0.73,0.62,0.69
Bed,0.58,0.03,2.6,3.9,4.2,0.6,0.54,0.56
Desk(s),0.49,0.05,3.5,4.1,4,0.5,0.47,0.49
Sofa,0.32,0.08,3.2,4.5,2.9,0.29,0.39,0.33
Dresser(s),0.28,0.01,3.9,5.2,5.2,0.3,0.22,0.27
Loveseat(s),0.26,,4.4,,4.3,0.23,0.26,0.32
Coffee table,0.19,,5.9,,5.2,0.19,0.14,0.21
Lamp(s),0.17,,3.7,,5.2,0.16,0.23,0.16
Nightstand(s),0.13,,5,,5.9,0.15,0.06,0.16
Ottoman,0.12,,4.9,,4.8,0.14,0.1,0.09
Recliner,0.12,,4.6,,4.8,0.09,0.11,0.2
Stool(s),0.11,,4.1,,5.1,0.11,0.11,0.12
End table(s),0.1,,4.4,,5.5,0.11,0.05,0.12
Futon,0.08,,4,,4.7,0.11,0.08,0.04
Armoire,0.07,,4.5,,5.6,0.08,0.07,0.05
Bookshelf/case,0.06,,4.6,,5.9,0.06,0.1,0.03
 Bookshelf,0.04,,4.6,,5.9,0.03,0.07,0.02
 Bookcase,0.03,,4.4,,6,0.03,0.03,0.02
Cabinet(s),0.06,,5.6,,5.6,0.05,0.1,0.04
Foot rest/stool,0.06,,5.7,,5.2,0.06,0.08,0.05
 Foot rest,0.03,,5.3,,5.4,0.03,0.05,0.01
 Foot stool,0.03,,6.1,,5,0.03,0.03,0.04
Shelf(ves),0.05,,4.7,,6.1,0.05,0.08,0.02
,,,,,,,,
15. A part of the human body,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-666,,Overall,First,,-352,-150,-164
Leg(s),0.87,0.12,2,3.5,3.8,0.86,0.85,0.93
Arm(s),0.82,0.32,2.5,3.4,3.3,0.82,0.76,0.87
Foot/feet,0.71,0.05,2.2,3.9,5.7,0.71,0.71,0.73
 Foot,0.45,0.04,2.2,3.9,5.1,0.45,0.45,0.45
 Feet,0.27,0.01,2.2,3.9,6.8,0.26,0.26,0.27
Finger(s),0.67,0.02,2.6,4.1,6.5,0.66,0.63,0.71
Head,0.61,0.13,2.4,3.5,4.4,0.57,0.63,0.71
Toe(s),0.61,0.01,2,4.5,7.5,0.62,0.57,0.64
Eye(s),0.59,0.04,2,3.6,6.3,0.59,0.63,0.56
Hand(s),0.54,0.1,2.4,3.7,5.1,0.52,0.55,0.57
Nose,0.53,0.04,2,3.3,6.3,0.54,0.55,0.49
Ear(s),0.49,0.03,2.1,3,7.1,0.49,0.51,0.47
Mouth,0.38,,2.3,,7.4,0.37,0.39,0.4
Stomach,0.35,,3.4,,7.8,0.35,0.39,0.3
Heart,0.27,0.04,2.5,3.7,5.9,0.28,0.25,0.26
Knee(s),0.26,,2.6,,8.4,0.27,0.28,0.24
Neck,0.22,0.01,2.3,2.9,7.1,0.23,0.25,0.18
Brain,0.18,0.02,2.7,4.5,5.8,0.19,0.19,0.16
Hair,0.18,,2.7,,8.6,0.19,0.16,0.17
