Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
Elbow(s),0.17,,3.3,,8.6,0.16,0.15,0.2
Shoulder(s),0.17,,3,,7.2,0.18,0.2,0.1
Chest,0.16,,2.9,,7.3,0.17,0.18,0.12
Back,0.11,,2.3,,8.7,0.1,0.15,0.1
Butt,0.11,,2.7,,9.1,0.12,0.13,0.07
Lip(s),0.11,,2.3,,8.7,0.09,0.06,0.18
Thigh(s),0.11,,2.9,,9.1,0.1,0.14,0.09
Ankle(s),0.1,,2.8,,8.5,0.11,0.1,0.08
Face,0.1,,2,,6,0.09,0.17,0.05
Liver,0.1,,2.8,,8.5,0.09,0.13,0.09
Lung(s),0.1,,2.5,,6.7,0.11,0.1,0.07
Tongue,0.1,0.01,3.2,4.5,7.6,0.09,0.09,0.12
Teeth,0.07,,2.6,,9,0.07,0.07,0.09
Torso,0.07,,2.6,,7,0.09,0.05,0.03
Wrist(s),0.07,,2.6,,9.4,0.08,0.05,0.07
Bone(s),0.06,,2.4,,7.5,0.07,0.05,0.05
Penis,0.06,0.01,2.8,4.2,5.1,0.06,0.06,0.05
Breast(s),0.05,0.01,3.2,3.9,6.9,0.05,0.04,0.05
Hip(s),0.05,,2.9,,8.8,0.06,0.07,0.02
Muscle(s),0.05,,3.4,,8.1,0.05,0.05,0.04
Nail(s),0.05,,2.7,,10.2,0.05,0.06,0.06
,,,,,,,,
16. A fruit,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-655,,Overall,First,,-337,-149,-169
Apple(s),0.95,0.58,2.7,3.1,1.7,0.94,0.97,0.96
Orange,0.86,0.14,3,3.8,2.8,0.85,0.81,0.92
Banana(s),0.71,0.07,3.7,4.9,3.6,0.76,0.66,0.65
Grape(s),0.52,0.02,3.1,4.3,4.9,0.46,0.59,0.58
Pear(s),0.5,0.03,2.6,3,4.2,0.47,0.5,0.54
Peach,0.4,0.04,3.3,3.4,4.9,0.37,0.47,0.4
Strawberry,0.4,0.04,4.8,6.5,4.9,0.4,0.4,0.39
Kiwi,0.3,,3.3,,5.7,0.29,0.26,0.35
Pineapple(s),0.26,0.01,4.9,5.4,5.1,0.25,0.26,0.29
Watermelon,0.24,0.01,3.9,5.1,5.7,0.23,0.28,0.22
Tomato,0.23,0.03,3.9,4.2,4.8,0.21,0.3,0.22
Plum,0.21,,3.1,,5.6,0.18,0.27,0.2
Grapefruit,0.18,,5,,5.7,0.18,0.17,0.2
Mango(s),0.18,0.01,3.5,4,5.6,0.2,0.19,0.14
Cherry,0.15,0.01,3.1,3.4,5.5,0.14,0.15,0.17
Lemon,0.15,,2.7,,5.8,0.12,0.16,0.2
Blueberry,0.14,,3.7,,6.7,0.15,0.14,0.11
Cantaloupe,0.14,,4.2,,6.4,0.15,0.17,0.11
Raspberry,0.12,,4.2,,6.5,0.17,0.09,0.05
Lime,0.11,,2.5,,6.7,0.08,0.12,0.16
Tangerine(s),0.09,,4.3,,6,0.06,0.08,0.14
Melon(s),0.08,,3.6,,6.2,0.08,0.11,0.06
Nectarine(s),0.06,,3.5,,6.7,0.07,0.09,0.02
Papaya,0.06,0.01,3.8,4.6,5.7,0.07,0.04,0.05
Apricot(s),0.05,,4.1,,6.4,0.06,0.06,0.04
Honeydew (melon),0.05,,4.5,,7.1,0.03,0.09,0.04
Star fruit,0.05,,4.3,,6,0.06,0.04,0.04
,,,,,,,,
17. A weapon,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-660,,Overall,First,,-338,-148,-174
Gun(s),0.96,0.69,2.6,2.8,1.4,0.95,0.97,0.98
Knife,0.95,0.23,2.9,3.8,2,0.96,0.97,0.93
Sword(s),0.28,0.02,4.3,3.3,3.8,0.27,0.32,0.26
Bat,0.22,,4.1,,4,0.23,0.22,0.19
Bomb(s),0.18,,4.5,,4.6,0.22,0.16,0.13
Fist(s),0.13,,4.7,,4.9,0.13,0.11,0.13
Rifle,0.12,0.01,4.6,4.8,3.7,0.1,0.16,0.14
Bow & arrow,0.11,,5.8,,4.5,0.14,0.11,0.07
 Bow and arrow(s),0.06,,7.3,,4.1,0.07,0.05,0.04
 Arrow(s),0.03,,4.4,,4.9,0.03,0.02,0.02
 Bow,0.03,,4.2,,5,0.04,0.03,0.01
Rope,0.1,,4.7,,4.4,0.11,0.09,0.08
Mace,0.09,,4.3,,4.8,0.11,0.07,0.08
Ax(e),0.08,,4,,4.9,0.09,0.09,0.06
Grenade(s),0.08,,5.4,,4.6,0.1,0.05,0.05
Missile(s),0.08,,4.6,,4.8,0.09,0.09,0.05
Pistol/hand gun,0.08,0.02,5.2,5.9,3.3,0.07,0.1,0.09
 Pistol(s),0.06,0.01,5.3,4.3,3.4,0.06,0.06,0.07
 Handgun,0.02,0.01,5.2,7.9,3,0.02,0.04,0.02
Brass knuckle(s),0.06,,7.3,,4.4,0.05,0.04,0.09
Club,0.06,,4.6,,5,0.08,0.07,0.02
Hammer,0.06,,4.9,,4.7,0.05,0.06,0.09
Nunchucks,0.06,,6.9,,4.5,0.07,0.05,0.05
Stick,0.06,,6.1,,4.5,0.06,0.04,0.07
Bazooka,0.05,,4.4,,4.3,0.05,0.05,0.03
Blade(s),0.05,,4.5,,4.5,0.03,0.04,0.07
Spear,0.05,,4.8,,4.7,0.07,0.05,0.03
,,,,,,,,
18. An elective office,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-645,,Overall,First,,-331,-146,-168
President,0.94,0.72,5.3,5.7,1.4,0.93,0.95,0.93
Senator/senate,0.55,0.07,4.1,6.5,2.9,0.59,0.51,0.51
 Senator,0.42,0.06,4,6.5,2.9,0.42,0.51,0.37
 Senate,0.13,0.01,4.5,6.4,3,0.17,0,0.14
Vice president,0.53,0.01,5.1,9,2.9,0.47,0.6,0.58
Governor,0.43,0.05,4.6,5.8,3.5,0.42,0.56,0.34
Mayor,0.41,0.05,3.9,5.2,3.5,0.42,0.4,0.42
Secretary,0.27,,4.4,,3.6,0.24,0.29,0.31
(House of) representatives,0.23,0.01,6.4,12.1,3.8,0.24,0.21,0.23
 Representative,0.16,0.01,6.3,12.4,3.8,0.18,0.18,0.12
 House of representatives,0.07,,6.8,,3.7,0.06,0.03,0.11
Treasurer,0.23,,5.1,,3.9,0.21,0.26,0.26
Congressional,0.19,0.01,4.8,10.9,3.5,0.24,0.17,0.11
 Congressman,0.11,,4.8,,3.7,0.11,0.16,0.05
 Congress,0.07,0.01,4.7,11.8,3,0.11,0,0.06
 Congress person,0.01,,4.3,,4.6,0.01,0.01,0.01
 Congress member,0,,4,,5,0,0,0
 Congressman/woman,0,,9.7,,4,0.01,0,0
Sheriff,0.07,,4.6,,4.4,0.05,0.03,0.13
Judge(s),0.06,,5.1,,4.8,0.05,0.07,0.07
Secretary of state,0.06,,6.9,,3.7,0.07,0.02,0.07
,,,,,,,,
19. A type of human dwelling,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-686,,Overall,First,,-370,-144,-172
House/home,0.96,0.75,4,4.3,1.4,0.99,1,0.85
 House,0.85,0.7,4,4.3,1.3,0.88,0.9,0.74
 Home,0.1,0.05,3.6,4.7,2,0.1,0.1,0.11
Apartment,0.67,0.03,4,6.7,3,0.68,0.78,0.54
 Apartment,0.66,0.03,4,6.7,3,0.68,0.78,0.54
 Apartment building,0,,5,,3,0,0,0
 Apartment complex,0,,6,,5,0,0,0
Mansion,0.35,0.01,4.4,5.9,4.3,0.35,0.4,0.3
Condo(minium),0.32,,4.1,,4.4,0.38,0.33,0.19
 Condo,0.29,,3.9,,4.4,0.35,0.28,0.19
 Condominium,0.03,,6.6,,4,0.03,0.05,0
Cave(s),0.24,0.04,3.4,4.9,3.3,0.28,0.25,0.17
Shack,0.22,0.01,3.9,5.4,4,0.25,0.22,0.15
Hut(s),0.19,0.03,3,3.8,3.3,0.22,0.2,0.1
Tent,0.19,,3.3,,4.5,0.23,0.17,0.13
Dorm (room),0.15,,4,,4.5,0.13,0.23,0.15
 Dorm,0.07,,3.9,,4.4,0.01,0.17,0.12
 Dorm room,0.06,,3.6,,4.3,0.1,0.01,0.03
 Dormitory,0.02,,5.5,,5.4,0.02,0.05,0
Townhouse/home,0.15,,4.6,,4.5,0.14,0.22,0.11
 Townhouse,0.11,,4.5,,4.4,0.09,0.2,0.09
 Townhome,0.04,,4.9,,4.7,0.05,0.02,0.02
Trailer,0.13,,4.3,,4.4,0.09,0.12,0.2
Tepee,0.11,,4.1,,4.4,0.14,0.1,0.03
Cabin,0.09,,3.8,,4.8,0.11,0.06,0.08
Hotel,0.09,,3.5,,5.5,0.09,0.13,0.06
Car,0.08,,2.9,,4.7,0.08,0.07,0.1
Igloo(s),0.07,0.01,4.9,5.3,3.5,0.09,0.08,0.03
Boat,0.05,,4.4,,4.7,0.04,0.05,0.08
Box,0.05,,4.1,,5.2,0.04,0.07,0.06
,,,,,,,,
20. An alcoholic beverage,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-686,,Overall,First,,-370,-150,-166
Beer,0.87,0.63,3.5,3.8,1.5,0.89,0.9,0.78
Vodka,0.62,0.09,4,5.1,3,0.67,0.67,0.46
Wine,0.54,0.05,2.5,3.3,2.8,0.56,0.55,0.47
Rum,0.43,0.03,3.1,4.9,3.9,0.47,0.53,0.24
Whiskey,0.32,0.01,4.4,5.8,4,0.36,0.33,0.23
Tequila,0.24,0.01,4.8,5.6,4.5,0.32,0.15,0.16
Gin,0.23,0.01,3.1,4,4.6,0.25,0.28,0.14
Margarita(s),0.12,0.01,5.3,7.9,4.1,0.15,0.06,0.11
Liquor(s),0.11,,5.7,,3.5,0.07,0.08,0.25
Champagne,0.09,,5.9,,4.6,0.1,0.07,0.08
Scotch,0.09,,4.3,,5,0.09,0.13,0.05
Bud(weiser),0.08,0.01,4.5,5.9,3.8,0.06,0.04,0.14
 Budweiser,0.07,0.01,4.9,5.9,3.8,0.05,0.03,0.14
 Bud,0.01,,2.5,,4.1,0.02,0.01,0
Wine cooler(s),0.07,,5.2,,4.2,0.09,0,0.08
Bacardi,0.06,0.01,5.3,5.8,4,0.05,0.11,0.05
Jack Daniels,0.06,,5.4,,4.3,0.07,0.05,0.05
Martini,0.06,0.01,5.3,6.2,4,0.08,0.05,0.05
Smirnoff,0.06,0.01,4.9,5.6,3.6,0.04,0.07,0.1
Bourbon,0.05,,4.5,,5.2,0.06,0.01,0.05
Daiquiri(s),0.05,,6,,4.9,0.04,0.03,0.09
,,,,,,,,
21. A country,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-698,,Overall,First,,-368,-150,-180
USA/US/United States,0.9,0.66,4.1,4.6,1.6,0.9,0.89,0.89
 USA,0.38,0.31,3.5,3.9,1.4,0.54,0.45,0
 United States,0.35,0.26,5,5.4,1.7,0.18,0.22,0.82
 US,0.09,0.05,3.3,3.9,2,0.11,0.13,0
 America,0.08,0.05,4.1,5,1.8,0.07,0.09,0.07
Canada,0.56,0.02,3.3,5.2,4.1,0.61,0.51,0.48
France,0.53,0.04,2.8,4.3,4.6,0.54,0.54,0.52
Mexico,0.52,,3.2,,4.3,0.57,0.5,0.43
England,0.38,0.02,3.4,4.7,4.4,0.38,0.39,0.36
Germany,0.38,0.02,3.1,4.7,5.2,0.39,0.39,0.37
Spain,0.33,0.03,2.8,3.6,5.3,0.34,0.32,0.33
Italy,0.29,0.01,2.9,4.3,5.6,0.29,0.35,0.23
China,0.26,0.01,2.5,6.4,6.3,0.23,0.41,0.2
Japan,0.23,0.01,2.7,3.7,6.3,0.22,0.31,0.18
Russia,0.23,0.01,2.9,3.8,5.8,0.22,0.28,0.22
Brazil,0.19,0.01,3.8,6.1,5.4,0.2,0.17,0.18
Ireland,0.16,0.01,3.1,4.1,5.5,0.18,0.12,0.13
Australia,0.15,0.01,4.1,6.1,5.4,0.16,0.16,0.13
Iraq,0.13,0.01,3.1,6.5,5,0.1,0.06,0.24
Afghanistan,0.09,0.01,4.8,6.9,4.3,0.1,0.07,0.09
Argentina,0.09,,3.4,,5.8,0.1,0.09,0.06
India,0.09,0.01,2.6,4,6,0.08,0.12,0.08
Switzerland,0.09,,4.8,,5.9,0.1,0.07,0.09
Sweden,0.08,,3.1,,6.4,0.07,0.09,0.09
Africa,0.07,0.01,4.3,5.2,3.8,0.05,0.05,0.11
Chile,0.07,,3.1,,7.2,0.08,0.07,0.05
Great Britain/Britain,0.07,,4.5,,4.9,0.07,0.09,0.05
 Great Britain,0.04,,5.1,,4.7,0.04,0.05,0.03
 Britain,0.03,,3.7,,5.1,0.03,0.05,0.02
Iran,0.07,,2.2,,5.9,0.05,0.05,0.13
Portugal,0.07,,3.7,,6.5,0.07,0.08,0.07
Europe,0.06,0.01,4.7,5.6,3.2,0.05,0.05,0.09
Greece,0.06,,2.7,,6.9,0.05,0.1,0.03
Scotland,0.06,,3.3,,5.9,0.06,0.05,0.07
Egypt,0.05,,4.7,,5.4,0.05,0.04,0.06
Israel,0.05,,3.6,,5.6,0.03,0.11,0.03
Peru,0.05,,2.7,,5.9,0.06,0.05,0.02
South Africa,0.05,,5.5,,6.7,0.05,0.05,0.05
,,,,,,,,
22. A crime,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-697,,Overall,First,,-369,-150,-178
Stealing/theft/robbery,1,0.3,4.5,4.9,2.5,0.99,1.01,1.01
 Stealing,0.36,0.14,4.8,5,2.4,0.36,0.26,0.44
 Theft,0.3,0.06,3.9,4.7,2.6,0.33,0.3,0.24
 Robbery,0.34,0.1,4.6,4.8,2.5,0.3,0.45,0.33
Murder/killing,0.97,0.45,3.9,4.2,2,0.95,0.99,0.97
 Murder,0.82,0.42,3.8,4.1,1.9,0.82,0.86,0.79
 Killing,0.09,0.03,4.8,5,2.4,0.08,0.07,0.13
 Homicide,0.06,0.01,4.4,5.9,3.3,0.06,0.07,0.04
Rape,0.44,0.05,3.1,3.2,3,0.44,0.49,0.4
Assault,0.24,0.01,4.7,4.5,3.8,0.26,0.25,0.18
Burglary,0.14,0.05,5.4,5.7,2.6,0.17,0.15,0.09
Arson,0.12,0.01,3.9,4.2,3.5,0.12,0.13,0.1
Speeding,0.11,,4.7,,4.4,0.11,0.05,0.14
Breaking and entering,0.08,0.01,6.1,6.9,3.4,0.07,0.08,0.12
Drug use/possession,0.07,0.01,6.2,8.2,3.9,0.07,0.05,0.1
 Drugs,0.03,,6.4,,3.9,0.02,0.01,0.04
 Drug possession,0.03,,6.2,,3.9,0.02,0.01,0.05
 Drug use,0.02,,5.9,,4,0.02,0.02,0.01
 Illegal drug use,0,,8.1,,5,0,0.01,0
 Using drugs,0,,4.8,,5,0,0,0
 Using illegal drugs,0,,8.5,,5,0,0,0
DUI/DWI,0.07,,5.6,,4.5,0.11,0.03,0.02
 DUI,0.04,,5.5,,4.2,0.07,0.01,0.02
 DWI,0.01,,5,,5.8,0.01,0.01,0.01
 Drinking and driving,0.01,,6,,4.4,0.02,0.01,0
 Drunk driving,0.01,,6.2,,5.1,0.02,0.01,0
Larceny,0.07,0.01,5.1,4.6,3.3,0.04,0.1,0.1
Kidnapping,0.06,,6,,4.3,0.06,0.07,0.06
Vandalism,0.06,0.01,6.1,5.3,3.7,0.05,0.05,0.07
Battery,0.05,,3.5,,4.5,0.05,0.03,0.05
Drug dealing/selling,0.05,,7,,4.3,0.05,0.05,0.04
 Drug dealing,0.02,,5.8,,4.4,0.01,0.02,0.02
 Drug trafficking,0.01,,7.7,,4.1,0.02,0.01,0.01
 Selling illegal drugs,0.01,,7.7,,4.3,0.01,0.02,0.02
 Drug smuggling,0,,7,,4.5,0.01,0,0
Grand theft auto,0.05,,6.9,,4.1,0.04,0.07,0.04
,,,,,,,,
23. A carpenter tool,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-663,,Overall,First,,-342,-149,-172
Hammer(s),0.93,0.71,3.8,4,1.4,0.94,0.9,0.91
Nail(s),0.63,0.02,3.3,6.4,3.1,0.63,0.57,0.66
Saw,0.57,0.09,3.4,4.2,3.2,0.59,0.56,0.55
Screwdriver(s),0.48,0.01,6.2,8.3,3.5,0.51,0.45,0.45
Drill,0.23,0.01,4.1,4.4,3.9,0.27,0.2,0.19
Wrench,0.2,0.02,5,5.2,3.3,0.21,0.21,0.19
Screw(s),0.18,,3.7,,4.6,0.19,0.11,0.24
Level,0.13,0.01,4.9,5.6,4.2,0.15,0.14,0.09
Ruler,0.12,0.01,4.9,5.5,3.9,0.1,0.18,0.09
Tape measure,0.12,0.01,6.9,10.1,4.2,0.12,0.05,0.17
Wood,0.11,0.01,4.1,6.5,4.4,0.12,0.09,0.12
Sander,0.1,,4.9,,4.3,0.11,0.09,0.09
Measuring tape/device,0.08,,6.7,,4,0.1,0.11,0.02
 Measuring tape,0.06,,6.4,,4.2,0.08,0.09,0
 Measuring device,0.01,,8.1,,3,0.01,0.01,0.01
 Measure(r),0.01,,7,,3.5,0,0.01,0.02
 Measuring stick,0,,8.3,,3,0.01,0,0
Knife,0.07,0.02,5.3,6.2,2.7,0.06,0.04,0.1
Chisel,0.06,0.01,5.8,6.2,3.1,0.05,0.03,0.11
Pencil,0.06,,4.2,,5.1,0.07,0.07,0.03
Sandpaper,0.06,,5.7,,4.6,0.06,0.06,0.05
Nail gun,0.05,,4.7,,4.1,0.06,0.06,0.01
Pliers,0.05,,6.4,,4.1,0.06,0.05,0.03
,,,,,,,,
24. A member of the clergy,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-621,,Overall,First,,-348,-135,-138
Priest,0.71,0.52,5.2,5.6,1.5,0.74,0.79,0.57
Pope,0.52,0.09,4.3,6.2,3.2,0.56,0.57,0.36
Bishop,0.33,0.03,4.9,7.2,3.4,0.33,0.45,0.2
Nun,0.29,0.01,3.7,6.2,3.2,0.28,0.35,0.23
Cardinal,0.2,0.01,4.3,5.2,3.8,0.22,0.23,0.14
Minister,0.19,0.03,4.9,8.9,3.3,0.18,0.25,0.16
Pastor,0.19,0.06,5.1,5.8,2.8,0.16,0.22,0.24
Deacon,0.18,,4.1,,3.4,0.15,0.21,0.22
Father,0.1,0.01,5,4.6,3.4,0.09,0.1,0.13
Rabbi,0.1,0.01,4.9,3.6,3.5,0.1,0.16,0.04
Monk,0.09,0.01,3.9,6.5,3.8,0.08,0.11,0.09
Reverend,0.09,,4.5,,3.8,0.05,0.19,0.09
Archbishop,0.08,,5.2,,4.7,0.09,0.07,0.05
Preacher,0.08,0.02,5.8,8.3,2.9,0.06,0.04,0.15
Altar boy(s),0.07,,5.7,,3.6,0.08,0.07,0.04
,,,,,,,,
25. A substance for flavoring food,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-685,,Overall,First,,-367,-149,-169
Salt,0.87,0.39,3.5,4.9,2.1,0.87,0.87,0.88
Pepper,0.85,0.09,3,5.5,2.8,0.86,0.79,0.87
Garlic,0.29,0.05,4.6,5.3,3.8,0.31,0.22,0.32
Sugar(s),0.25,0.05,4.3,6.3,3.4,0.19,0.37,0.29
Oregano,0.19,0.01,5,7.5,4.3,0.2,0.19,0.16
Spice(s),0.19,0.06,5.1,6.6,3.2,0.21,0.23,0.12
Cinnamon,0.17,0.02,5.6,6.9,4,0.16,0.19,0.18
Paprika,0.14,0.02,4.7,5.8,4,0.14,0.16,0.13
Ketchup,0.13,0.01,5.2,6.4,4.6,0.11,0.16,0.13
Butter,0.12,0.01,4.5,7.7,4.5,0.13,0.13,0.12
Basil,0.11,0.01,3.9,5.6,4.8,0.12,0.08,0.11
Vanilla,0.11,0.07,5.7,6,2.1,0.11,0.11,0.11
Mustard,0.1,,3.3,,5.2,0.09,0.09,0.13
Hot sauce,0.09,,5.5,,4.1,0.07,0.07,0.14
Onion(s),0.08,,4.7,,4.8,0.08,0.09,0.07
Vinegar,0.08,,3.6,,4.4,0.08,0.06,0.12
Herbs,0.07,0.01,4.6,6.3,3.7,0.06,0.12,0.06
Lemon,0.07,0.01,4.4,8.8,4.3,0.06,0.07,0.1
Tabasco,0.07,0.01,4.7,5.4,3.9,0.11,0.02,0.01
Oil(s),0.06,,3.5,,4.6,0.06,0.04,0.07
Soy sauce,0.06,,5.3,,4.9,0.06,0.07,0.05
Thyme,0.06,,4.5,,4.8,0.07,0.05,0.06
Curry,0.05,0.01,3.9,5.1,4,0.03,0.07,0.06
Nutmeg,0.05,,4.7,,4.1,0.04,0.05,0.05
Parsley,0.05,,3.8,,4.5,0.05,0.04,0.05
,,,,,,,,
26. A fuel,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-637,,Overall,First,,-323,-148,-166
Gas(oline),0.79,0.59,4.4,4.5,1.5,0.76,0.87,0.78
 Gasoline,0.47,0.34,4.8,4.9,1.6,0.33,0.43,0.78
 Gas,0.32,0.25,3.9,3.9,1.5,0.43,0.45,0.01
Diesel,0.38,0.13,5.2,5.2,2.4,0.39,0.3,0.42
Oil,0.33,0.05,4.2,5,2.9,0.3,0.39,0.33
Unleaded,0.21,0.05,4.8,6.4,2.4,0.24,0.12,0.24
Coal,0.2,0.01,3.9,6.1,3.4,0.24,0.2,0.13
Solar/sun,0.14,,5.7,,4,0.14,0.12,0.14
 Solar,0.05,,4.9,,4,0.05,0.05,0.05
 Sun light/rays,0.04,,6.9,,4,0.02,0.03,0.06
 Solar energy,0.01,,6.8,,4,0.02,0.01,0.02
 Solar power,0.02,,5.5,,4,0.02,0.02,0.01
 Sun,0.02,,4.8,,4.2,0.03,0.01,0
Petrol(eum),0.13,0.03,6.2,6.7,2.6,0.11,0.14,0.15
 Petroleum,0.11,0.03,6.7,6.8,2.6,0.09,0.12,0.15
 Petrol,0.02,,3.4,,2.5,0.02,0.02,0
Food,0.12,,4.5,,3.7,0.13,0.13,0.1
Natural (gas),0.12,0.01,6,6.2,3.3,0.15,0.16,0.02
 Natural gas,0.11,0.01,6.1,6.2,3.3,0.14,0.14,0.02
 Natural,0.01,,5.5,,4,0.01,0.02,0
Electricity,0.11,,6.1,,3.8,0.13,0.11,0.05
