Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
Sparrow(s),0.21,0.03,4.2,5.1,3.5,0.24,0.18,0.16
Pigeon(s),0.2,0.04,4.7,5.3,3.9,0.18,0.28,0.17
Seagull(s),0.13,0.01,4.4,4.4,4.2,0.14,0.13,0.1
Dove,0.12,0.01,3.1,4.1,4.3,0.12,0.08,0.15
Parakeet,0.12,0.02,5,5.4,3.5,0.12,0.15,0.08
Falcon(s),0.11,0.01,3.3,5,4.1,0.13,0.09,0.09
Canary,0.1,0.04,4.5,4.3,2.9,0.07,0.13,0.12
Owl(s),0.1,0.01,3.1,4.8,4.8,0.11,0.09,0.07
Ostrich,0.09,0.01,4.8,6.7,4.4,0.06,0.11,0.14
Penguin,0.09,0.01,4.6,6,4.1,0.08,0.12,0.08
Raven,0.09,,3,,4.5,0.1,0.1,0.07
Duck,0.08,0.01,3.5,3.4,4.8,0.1,0.07,0.06
Finch,0.08,0.01,3.9,4,4.3,0.06,0.09,0.08
Mockingbird,0.08,0.01,4.7,4.8,3.8,0.08,0.08,0.08
Woodpecker(s),0.08,0.01,5.8,7,4.4,0.08,0.08,0.07
Flamingo,0.07,0.01,4.7,6.4,4.4,0.06,0.07,0.09
Oriole,0.07,0.01,4,4.3,3.8,0.03,0.23,0.04
Blackbird,0.06,0.01,4.7,6.4,4.1,0.06,0.05,0.08
Chicken,0.06,,4,,5.2,0.05,0.06,0.07
Vulture,0.05,,3.9,,5.5,0.04,0.05,0.06
,,,,,,,,
,,,,,,,,
39. A transportation vehicle,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-696,,Overall,First,,-364,-149,-183
Car(s),0.89,0.69,3.1,3.3,1.4,0.87,0.85,0.95
Bus,0.58,0.11,2.3,3.7,2.8,0.6,0.34,0.75
Truck(s),0.56,0.05,3,4.6,3.1,0.5,0.73,0.54
(Air)plane,0.54,,3.5,,4.4,0.55,0.3,0.7
 Airplane,0.32,,3.7,,4.4,0.22,0.11,0.7
 Plane,0.21,,3.2,,4.3,0.33,0.19,0
Train(s),0.44,,3.1,,4.5,0.45,0.17,0.63
Bike/bicycle,0.42,0.01,3.9,3.6,4.9,0.45,0.3,0.48
 Bike,0.25,0.01,3.4,3.6,4.7,0.39,0.2,0
 Bicycle(s),0.18,,4.7,,5.2,0.06,0.09,0.48
Van,0.32,0.02,2.6,3.6,3.6,0.27,0.36,0.37
Boat/ship,0.3,,3.3,,5.4,0.3,0.19,0.39
 Boat(s),0.26,,3.4,,5.2,0.26,0.17,0.32
 Ship,0.04,,2.4,,6.6,0.04,0.01,0.07
Motorcycle(s),0.3,,5.6,,4.7,0.3,0.36,0.25
SUV,0.2,0.02,3.4,5.1,4,0.18,0.26,0.2
Skateboard(s),0.1,,5.1,,6.2,0.15,0.02,0.08
Subway,0.1,,4.3,,5.8,0.1,0.02,0.18
Taxi/cab,0.1,,3.8,,5,0.1,0.04,0.16
 Taxi,0.08,,4.2,,5,0.09,0.01,0.11
 Cab,0.03,,2.7,,5.1,0.02,0.03,0.05
Scooter,0.09,,4.3,,6.2,0.11,0.07,0.08
Helicopter,0.08,,4.8,,5.6,0.07,0.08,0.11
Jeep,0.07,0.01,3.4,4.8,4.1,0.08,0.08,0.04
Moped,0.07,,3.7,,5.3,0.08,0.05,0.05
Ford,0.05,,2.8,,5.2,0.06,0.05,0.01
Minivan,0.05,,4.5,,4.5,0.05,0.1,0.01
Sports car,0.05,,4.7,,4.2,0.04,0.11,0.02
,,,,,,,,
40. A science,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-691,,Overall,First,,-370,-150,-171
Biology,0.9,0.43,4.5,5,1.9,0.89,0.91,0.91
Chemistry,0.8,0.17,4.4,5.5,2.6,0.78,0.81,0.82
Physics,0.58,0.06,4.4,5.3,3.3,0.63,0.67,0.42
Psychology,0.53,0.13,5.6,6.2,2.8,0.58,0.57,0.36
Astronomy,0.21,0.01,4.9,6.7,3.8,0.24,0.24,0.11
Geology,0.17,0.02,4.1,4.7,3.6,0.19,0.17,0.13
Earth,0.14,0.02,5,5.4,3.6,0.08,0.09,0.32
Anatomy,0.12,0.01,4.6,4.5,4.2,0.08,0.09,0.22
Sociology,0.11,,5.1,,4,0.14,0.06,0.09
Kinesiology,0.09,0.01,5.9,8.1,3.9,0.15,0.02,0
Physiology,0.08,,5.5,,4.3,0.06,0.09,0.1
Anthropology,0.06,0.01,6.4,9.1,4.1,0.05,0.05,0.07
Biochemistry,0.06,,5.4,,4.5,0.08,0.07,0.02
Physical,0.06,0.01,6.2,6.4,3.5,0.03,0.06,0.14
,,,,,,,,
41. A toy,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-645,,Overall,First,,-326,-149,-170
Doll(s),0.48,0.1,3.8,5.1,2.9,0.45,0.51,0.5
Car(s),0.36,0.15,3.8,4.4,2.4,0.38,0.36,0.32
Barbie doll(s),0.31,0.05,4.1,5.7,3,0.29,0.26,0.38
Ball,0.27,0.11,3.6,4.1,2.7,0.26,0.25,0.31
Truck(s),0.23,0.09,3.9,4.3,2.4,0.26,0.17,0.21
Lego(s),0.2,0.02,4.1,5.9,3.7,0.21,0.2,0.16
Stuffed animal(s),0.2,0.03,6.8,8.2,3.4,0.22,0.21,0.15
Action figure(s),0.18,0.03,5.9,7.9,3.1,0.15,0.22,0.19
G I Joe,0.18,0.03,5.1,6.7,3.3,0.18,0.14,0.22
Block(s),0.12,0.02,4.9,5.5,3.5,0.11,0.12,0.14
Train (set),0.12,0.03,3.8,4.5,3.1,0.11,0.11,0.14
 Train(s),0.1,0.03,3.5,3.7,3.2,0.09,0.1,0.12
 Train set,0.02,,5.5,,2.7,0.02,0.01,0.02
Video game(s),0.11,0.01,5.9,8.2,3.5,0.11,0.13,0.08
Board game(s),0.09,0.01,5.7,10.3,4.3,0.1,0.13,0.05
Bike(s),0.08,0.02,4,3.4,3.8,0.07,0.05,0.11
Boat,0.06,0.03,3.8,4.7,2.1,0.08,0.04,0.04
Puzzle(s),0.06,0.01,4.6,6.4,3.7,0.06,0.08,0.04
Teddy bear(s),0.06,0.02,5.6,7.5,2.8,0.06,0.07,0.05
Computer,0.05,,5.7,,4.5,0.04,0.08,0.05
Jump rope,0.05,,5.3,,4.1,0.06,0.03,0.05
Nintendo,0.05,,5.2,,3.7,0.05,0.06,0.04
Yo-yo,0.05,0.01,4.6,5.1,3.5,0.06,0.06,0.05
,,,,,,,,
42. A type of dance,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-691,,Overall,First,,-372,-149,-170
Ballet,0.4,0.11,3.7,4.4,2.9,0.37,0.42,0.44
Tango,0.38,0.13,4.2,4.6,2.7,0.45,0.29,0.29
Salsa,0.36,0.17,3.9,4.3,2.5,0.41,0.39,0.25
Hip hop,0.33,0.06,4.5,5.6,3.5,0.4,0.28,0.24
Jazz,0.3,0.04,2.9,3.9,3.4,0.3,0.29,0.32
Waltz,0.28,0.04,5,6.6,3.4,0.33,0.19,0.25
Tap,0.27,0.02,3.1,5.7,4.2,0.26,0.26,0.32
Swing,0.24,0.04,3.9,3.9,3.6,0.26,0.23,0.21
Ballroom,0.19,0.02,4.9,6.6,4,0.19,0.29,0.11
Modern,0.16,0.03,3.8,3.8,3.6,0.13,0.19,0.21
Break,0.14,0.01,5.9,6.6,3.6,0.16,0.11,0.1
Line,0.12,0.01,4.7,6,3.9,0.15,0.09,0.09
Square,0.12,0.02,6.4,6.4,3.5,0.1,0.14,0.12
Slow,0.11,0.01,5.1,7.6,3.7,0.1,0.13,0.12
Cha cha,0.08,0.01,5.1,6.2,3.7,0.08,0.08,0.1
Merengue,0.08,0.01,5.3,7.5,3.6,0.09,0.11,0.05
Macarena,0.07,0.01,5.6,5.3,3.4,0.06,0.11,0.04
Electric slide,0.06,,6.2,,3.5,0.02,0.11,0.1
Foxtrot,0.06,,4.9,,4.5,0.07,0.03,0.05
Mambo,0.06,0.02,4.6,4.8,2.4,0.07,0.05,0.03
Two step,0.06,,5.5,,3.8,0.08,0.01,0.05
African,0.05,0.01,4.9,3.9,4.6,0.04,0.03,0.08
,,,,,,,,
43. A vegetable,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-667,,Overall,First,,-357,-150,-160
Carrot(s),0.77,0.38,3.7,3.9,2.2,0.82,0.75,0.67
Lettuce,0.49,0.06,4.2,6.1,3.5,0.54,0.47,0.38
Broccoli,0.42,0.1,5.4,6.3,3.1,0.45,0.47,0.29
Tomato,0.36,0.11,4.4,5.5,2.9,0.33,0.33,0.44
Cucumber(s),0.31,0.04,5.3,6.2,3.7,0.32,0.39,0.24
Peas,0.31,0.03,3.1,4.6,3.6,0.32,0.29,0.29
Corn,0.3,0.06,3.5,4.3,3.5,0.25,0.29,0.39
Potato,0.28,0.04,4.5,5.8,3.4,0.22,0.28,0.41
Celery,0.27,0.04,4.4,6.5,3.3,0.32,0.2,0.23
Onion(s),0.24,0.01,3.9,4.6,4.3,0.24,0.23,0.26
Green bean(s),0.2,0.03,5.1,6.3,3.6,0.16,0.22,0.26
Spinach,0.14,0.01,5,9.4,4.3,0.12,0.15,0.17
Squash,0.14,0.01,5.5,6.1,4.3,0.12,0.18,0.14
Bean(s),0.12,0.01,3.9,5.2,4.3,0.14,0.09,0.12
Cauliflower,0.12,,5.5,,4.7,0.15,0.13,0.07
Cabbage,0.1,0.01,4.2,7.2,4.4,0.08,0.12,0.14
Radish,0.1,,4.6,,5,0.12,0.09,0.08
Asparagus,0.09,,4.9,,4,0.12,0.08,0.06
Pepper(s),0.07,,4.5,,4.7,0.04,0.13,0.08
Tomatoes,0.07,0.01,4,4.9,3.4,0.12,0,0.02
Beet(s),0.06,,3.9,,4.8,0.05,0.07,0.07
Green pepper(s),0.05,,5.8,,4,0.06,0.05,0.04
Potatoes,0.05,0.01,4.5,5.3,4.2,0.07,0,0.06
Turnip(s),0.05,,4.4,,4.7,0.05,0.03,0.07
Zucchini,0.05,,5.9,,4.2,0.06,0.05,0.03
,,,,,,,,
44. A type of footwear,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-668,,Overall,First,,-349,-150,-169
Sandal(s),0.77,0.19,3.9,5.1,2.7,0.79,0.73,0.75
Boot(s),0.58,0.06,3.3,4.6,3.4,0.56,0.64,0.59
(High) heels,0.4,0.03,4.6,5.7,3.8,0.37,0.46,0.4
 High heel(s),0.3,0.02,4.8,6.2,3.8,0.3,0.38,0.24
 Heels,0.09,0.01,4.1,4.3,3.7,0.07,0.08,0.15
Shoe(s),0.38,0.29,3.8,4,1.4,0.38,0.41,0.36
Tennis,0.35,0.11,5,6,2.7,0.36,0.27,0.42
Flip flop(s),0.32,0.01,5.2,7.5,4.2,0.27,0.35,0.39
Sneaker(s),0.32,0.13,4.2,4.8,2.4,0.21,0.57,0.34
Slipper(s),0.22,,4.3,,4.5,0.21,0.31,0.17
Sock(s),0.2,0.01,3.5,4.6,3.9,0.18,0.23,0.21
Dress,0.15,,5.4,,4.3,0.15,0.21,0.11
Nike(s),0.15,0.06,3.9,4.3,2.6,0.15,0.09,0.19
Running shoes,0.15,0.02,5.4,6.8,3.5,0.19,0.11,0.08
Adidas,0.11,0.01,4.2,5.5,3.5,0.12,0.07,0.14
Clog(s),0.11,,3.9,,4.5,0.12,0.09,0.11
Cleat(s),0.1,0.01,4.1,6.3,4.7,0.11,0.1,0.07
Loafer(s),0.09,,4.8,,4.4,0.09,0.09,0.07
Pump(s),0.08,,3.9,,4.5,0.08,0.08,0.07
Reebok(s),0.08,,3.6,,3.6,0.1,0.04,0.09
Hiking boots/shoes,0.07,,5.1,,5,0.1,0.05,0.03
 Hiking boot(s),0.06,,5,,5,0.09,0.03,0.03
 Hiking shoes,0.01,,5.9,,5,0.01,0.01,0
Moccasin(s),0.06,,6.2,,4.8,0.05,0.09,0.04
Platform(s),0.05,,4.2,,4.3,0.06,0.05,0.03
,,,,,,,,
45. An insect,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-667,,Overall,First,,-340,-149,-178
Fly,0.61,0.19,3.5,4.2,2.6,0.57,0.64,0.67
Ant,0.57,0.18,3.3,3.9,2.7,0.57,0.64,0.53
Spider(s),0.43,0.11,4.1,4.6,2.9,0.44,0.38,0.45
Bee(s),0.41,0.11,3.2,3.6,3.1,0.44,0.47,0.3
Mosquito,0.33,0.07,5.6,6.1,3.1,0.34,0.32,0.31
Beetle(s),0.31,0.05,4.7,5.2,3.4,0.35,0.29,0.26
Lady bug(s),0.27,0.06,5.1,5.4,3.1,0.29,0.23,0.27
Grasshopper(s),0.2,0.04,5.7,6,3.4,0.21,0.12,0.25
Butterfly,0.19,0.02,5.1,5.6,4.3,0.2,0.21,0.17
Wasp(s),0.17,,3.1,,4.9,0.19,0.18,0.12
Roach,0.16,0.01,3.8,5.2,3.6,0.11,0.16,0.26
Moth(s),0.15,,3.5,,4.6,0.17,0.16,0.1
Gnat(s),0.14,,4.7,,4.3,0.11,0.1,0.24
Cockroach,0.12,0.01,6.6,7.6,3.7,0.14,0.18,0.06
Caterpillar,0.11,0.01,6.6,6.7,4.1,0.11,0.1,0.12
Bug(s),0.1,0.07,4,3.6,1.9,0.1,0.1,0.11
Centipede,0.09,,6.4,,4,0.1,0.07,0.08
Cricket(s),0.09,0.01,4.5,4,3.8,0.07,0.11,0.12
Worm(s),0.09,,4.8,,4.8,0.07,0.12,0.09
Praying mantis,0.08,0.01,7,8,3.8,0.11,0.05,0.06
Dragonfly,0.06,,5.3,,4.3,0.05,0.13,0.03
Flea,0.05,,4,,4.4,0.06,0.05,0.04
Hornet(s),0.05,,3.3,,5,0.07,0.05,0.02
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
48. A flower,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-690,,Overall,First,,-371,-150,-169
Rose(s),0.96,0.48,2.8,3.3,1.8,0.96,0.95,0.96
Daisy,0.59,0.18,3.8,3.8,2.7,0.59,0.53,0.63
Tulip,0.53,0.07,4.3,3.9,3,0.56,0.51,0.49
Lily,0.3,0.03,4.1,4,3.7,0.33,0.28,0.26
Carnation(s),0.29,0.01,5.3,4.2,3.9,0.28,0.31,0.31
Daffodil(s),0.23,0.02,5.4,5.6,3.6,0.2,0.31,0.21
Sunflower(s),0.23,0.02,5.8,5.6,3.7,0.3,0,0.29
Dandelion(s),0.2,0.03,5.8,6.2,3.6,0.19,0.23,0.21
Pansy,0.11,0.01,5,4.4,4,0.12,0.07,0.13
Orchid(s),0.09,0.01,5.5,4.2,4.1,0.08,0.09,0.09
Petunia(s),0.09,0.02,4.8,4.5,3.2,0.11,0.09,0.06
Sun,0.09,0.01,5.6,4.7,3.6,0.01,0.37,0
Violet(s),0.09,,4.9,,3.9,0.08,0.11,0.09
Iris,0.08,0.01,3.6,3.4,4,0.1,0.06,0.06
Lilac,0.08,0.01,4.7,4.2,3.7,0.1,0.05,0.06
Columbine(s),0.05,0.01,6.1,5.5,3.4,0.09,0,0
,,,,,,,,
49. A disease,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-675,,Overall,First,,-361,-148,-166
AIDS/HIV,0.88,0.36,4,4.6,2.2,0.87,0.84,0.95
 AIDS,0.67,0.32,4.1,4.6,2,0.66,0.66,0.72
 HIV,0.21,0.04,3.8,4.8,2.8,0.21,0.18,0.23
 AIDS/HIV,0,,4.7,,3.7,0.01,0.01,0
Cancer,0.64,0.26,4.1,4.2,2.1,0.64,0.68,0.6
Flu,0.15,0.03,4.2,4.7,3.1,0.18,0.12,0.1
Diabetes,0.12,0.02,5.5,5.7,3.1,0.1,0.15,0.11
Herpes,0.12,0.02,5.1,4.9,3.5,0.11,0.14,0.13
Cold,0.11,0.01,4,6.6,3.2,0.14,0.07,0.07
 Cold,0.1,0.01,4,6.5,3.3,0.13,0.07,0.07
 Common cold,0.01,,4.4,7.1,2.5,0.01,0.01,0.01
Parkinson’s,0.11,0.02,6.3,5.8,2.9,0.14,0.08,0.08
Alzheimer’s,0.1,0.01,6.9,5.5,3.5,0.1,0.09,0.1
Leukemia,0.1,0.01,6.5,9,3,0.09,0.13,0.1
Heart disease,0.09,0.01,6.1,6.3,3.2,0.05,0.13,0.14
Chicken pox,0.07,0.01,6.2,6.4,3.5,0.06,0.11,0.05
Hepatitis,0.07,,6.2,4.4,3.5,0.08,0.06,0.07
 Hepatitis,0.06,,6.1,4.4,3.3,0.06,0.06,0.05
 Hepatitis B,0.01,,8.1,,5,0.01,0,0.01
 Hepatitis A,0,,5.4,,4.7,0.01,0,0.01
 Hepatitis C,0,,5.2,,3.5,0.01,0,0
MS/multiple sclerosis,0.07,0.01,6.6,8.4,3.1,0.09,0.05,0.04
 MS,0.04,0.01,5.4,7.8,3.3,0.07,0.03,0
 Multiple sclerosis,0.03,,8.5,9.5,2.8,0.02,0.02,0.04
Gonorrhea,0.06,,6.2,5.9,4,0.06,0.05,0.07
Malaria,0.06,0.02,5.5,4.2,2.9,0.05,0.13,0.04
Smallpox,0.06,0.01,5.3,5.4,3.2,0.08,0.06,0.03
Syphilis,0.06,,6.9,5.3,3.7,0.06,0.05,0.05
Measles,0.05,0.01,5.3,5.1,2.7,0.04,0.06,0.04
Mono/mononucleosis,0.05,0.01,5,5.2,3.4,0.05,0.05,0.04
 Mono,0.03,0.01,4,3.6,3.3,0.05,0.04,0
 Mononucleosis,0.01,,7.7,11.7,3.7,0,0.01,0.04
STD(s),0.05,,7.1,4.4,3.3,0.05,0.03,0.07
Tuberculosis/TB,0.05,0.01,6.2,4.5,3.4,0.05,0.06,0.05
 Tuberculosis,0.04,,6.6,4.8,3.5,0.03,0.05,0.05
 TB,0.01,,4.6,4,3,0.02,0.01,0
,,,,,,,,
50. A tree,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-653,,Overall,First,,-338,-149,-166
Oak,0.68,0.31,3.2,3.6,2.2,0.63,0.75,0.71
Pine,0.63,0.1,3.4,3.8,3,0.64,0.56,0.69
Maple,0.45,0.1,3.7,4,3,0.42,0.5,0.48
Apple,0.31,0.03,4.3,5.4,4.3,0.26,0.4,0.33
Aspen,0.2,0.02,3.5,3.9,3.4,0.37,0.01,0.01
Redwood,0.2,0.02,4.5,4.9,3.7,0.2,0.22,0.19
Dogwood,0.18,0.05,4.8,5,3.4,0.06,0.12,0.46
Spruce,0.16,0.05,4.4,4.9,2.9,0.23,0.07,0.09
Evergreen,0.15,0.02,5.2,6.1,4,0.18,0.11,0.1
Birch,0.13,0.03,4.4,4.8,3.4,0.13,0.14,0.11
Cherry,0.13,,4.7,,4.8,0.11,0.2,0.11
Weeping willow,0.13,0.02,5,5.1,3.9,0.18,0.08,0.07
Orange,0.12,,3.7,,5.5,0.1,0.15,0.14
Elm,0.1,0.03,3,3.3,3.4,0.14,0.06,0.04
Fir,0.1,0.01,3.7,2.7,4,0.12,0.07,0.07
Palm,0.1,0.01,4.8,6.3,4.1,0.11,0.09,0.08
Cedar,0.09,,4.3,,4.3,0.09,0.07,0.11
Pear,0.09,,2.8,,5.5,0.06,0.12,0.11
Leaf(ves),0.08,0.03,4,5,2.3,0.1,0.03,0.07
Willow,0.07,0.01,4.7,4,3.5,0,0.15,0.13
Christmas,0.06,,6.1,,4,0.05,0.07,0.07
Peach,0.06,,4.1,,4.9,0.04,0.1,0.05
Blue spruce,0.05,0.01,6.8,7.4,3.8,0.08,0.02,0
Green,0.05,0.01,3.7,3.9,3.4,0.07,0.01,0.02
Sycamore,0.05,0.01,5.2,5.8,3.1,0.03,0.07,0.05
,,,,,,,,
51. A type of ship or boat,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-645,,Overall,First,,-335,-148,-162
Sailboat,0.53,0.22,5.2,6.1,2.3,0.59,0.49,0.44
Cruise ship/liner,0.52,0.14,5.8,7,2.7,0.53,0.55,0.45
 Cruise ship,0.27,0.06,5.9,7.5,2.7,0.24,0.26,0.36
 Cruise,0.12,0.04,5.1,5.9,2.5,0.17,0.16,0
 Cruise liner,0.06,0.01,6.1,8.6,3,0.07,0.05,0.04
 Cruiser,0.04,0.02,6.1,7,2.4,0.04,0.07,0.03
 Cruise boat,0.02,0.01,6.3,8.7,2.9,0.02,0.01,0.02
Yacht,0.29,0.12,5.4,6.4,2.3,0.25,0.32,0.33
