Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
Speedboat,0.23,0.05,5.3,7.1,2.9,0.27,0.2,0.2
Fishing boat,0.22,0.02,5.3,8.2,3.5,0.21,0.21,0.26
Canoe,0.21,0.03,5,8.9,3.8,0.19,0.22,0.24
Rowboat,0.18,0.03,4.6,6.7,3.5,0.19,0.19,0.15
Motor,0.13,0.01,5.1,6.2,3.3,0.16,0.14,0.09
Tugboat,0.13,0.05,5.4,7.2,2.6,0.11,0.18,0.14
Submarine,0.12,0.02,6.1,8.4,3.6,0.12,0.11,0.12
(Aircraft) carrier,0.11,0.02,7,9.7,3.1,0.13,0.09,0.1
 Aircraft carrier,0.08,0.02,7.6,11.1,3,0.1,0.07,0.07
 Carrier,0.03,0.01,5.3,6.3,3.1,0.03,0.03,0.03
Battleship,0.11,0.01,5.1,6.4,3.1,0.12,0.11,0.07
Kayak,0.08,,4.4,,4.3,0.09,0.07,0.07
Paddle boat,0.07,,5.2,,4,0.05,0.08,0.09
Raft,0.07,,4.1,,4,0.07,0.07,0.06
Titanic,0.07,0.03,6,7.6,2.2,0.04,0.09,0.1
Barge,0.06,0.01,4.5,5.2,3.4,0.06,0.07,0.05
Cargo,0.06,,5.4,,3.6,0.06,0.08,0.04
Catamaran,0.06,0.01,5.8,7.6,2.8,0.07,0.05,0.02
Ding(h)y,0.06,0.01,4.9,9.3,3.3,0.06,0.05,0.06
 Dingy,0.05,0.01,5.1,9.7,3.4,0.05,0.05,0.05
 Dinghy,0.01,,3.7,,2.4,0.01,0,0.01
Pontoon,0.06,0.01,5.5,6.7,3.4,0.06,0.01,0.11
Steam,0.06,0.02,5.4,7.5,3,0.05,0.07,0.06
 Steamboat,0.02,,5.9,,3.1,0.02,0,0.06
 Steamship,0.02,0.01,5.2,6.6,3,0.01,0.07,0
 Steam(er),0.01,,4.8,,2.6,0.02,0,0.01
Ferry,0.05,0.01,5.2,6.8,3.4,0.05,0.05,0.04
Schooner,0.05,0.02,4.6,5.7,2,0.07,0.03,0.03
Ski,0.05,0.01,4.9,5.9,3.4,0.07,0.01,0.05
,,,,,,,,
52. A fish,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-655,,Overall,First,,-326,-149,-180
Salmon,0.51,0.11,4,5.1,3,0.6,0.6,0.27
Trout,0.51,0.17,3.8,4.4,2.7,0.66,0.36,0.38
Goldfish,0.44,0.13,5,5.6,3,0.4,0.49,0.47
Bass,0.33,0.07,3.5,4.5,3.1,0.32,0.26,0.41
Catfish,0.27,0.05,4.5,4.5,3.5,0.18,0.26,0.45
Tuna,0.25,0.03,3.2,4,3.7,0.28,0.33,0.16
Shark,0.24,0.03,4.7,7.5,4,0.22,0.25,0.28
Flounder,0.18,0.05,4.8,5.5,3.1,0.07,0.25,0.34
Swordfish,0.15,0.01,5.4,6.1,4.1,0.17,0.15,0.12
Herring,0.11,0.03,4.2,4.1,3.2,0.1,0.14,0.13
Carp,0.1,0.03,3.6,3.6,3,0.13,0.03,0.1
Beta,0.09,,3.5,,4.1,0.07,0.03,0.16
Cod,0.09,0.03,3.7,3.3,3.1,0.13,0.1,0.03
Angelfish,0.08,0.01,5.4,5.4,4.1,0.09,0.06,0.08
Dolphin,0.08,0.01,4.9,6.4,3.7,0.07,0.05,0.13
Mahi mahi,0.08,,4.2,,4.2,0.11,0.03,0.05
Blowfish,0.07,0.02,5.9,5.5,3.3,0.05,0.09,0.12
Guppy(ies),0.07,0.01,4.2,4.4,4,0.08,0.06,0.07
Halibut,0.07,,4.2,,4.3,0.12,0.03,0.02
Perch,0.07,0.01,4.2,3.9,4,0.05,0.09,0.08
Rainbow trout,0.06,0.01,5.9,7.8,3.3,0.1,0.01,0.01
Marlin,0.05,,4,,4.6,0.07,0.03,0.03
Minnow(s),0.05,,4.8,,4.3,0.04,0.05,0.08
Pike,0.05,0.01,3.7,4.1,3.3,0.07,0.03,0.04
Piranha(s),0.05,,6.3,,4.1,0.07,0.03,0.04
Snapper,0.05,,4.5,,4.3,0.07,0.01,0.04
Whale,0.05,,2.9,,4.4,0.03,0.05,0.07
,,,,,,,,
53. A snake,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-654,,Overall,First,,-339,-146,-166
Rattle(snake),0.75,0.39,5,5.2,1.9,0.78,0.67,0.78
 Rattlesnake,0.44,0.26,5.4,5.4,1.8,0.33,0.32,0.78
 Rattle,0.24,0.11,4.2,4.4,2,0.32,0.33,0
 Rattler,0.07,0.03,5,5.7,2.2,0.13,0.02,0
Garden(er),0.54,0.06,5.4,6.2,3.2,0.63,0.42,0.43
 Gardener,0.33,0.04,5.4,6.3,3.1,0.63,0,0
 Garden,0.21,0.02,5.4,6,3.4,0,0.42,0.43
Cobra,0.5,0.14,3.9,4.5,2.5,0.46,0.56,0.53
Python(s),0.42,0.07,5,4.7,3.1,0.47,0.38,0.34
Boa (constrictor),0.36,0.07,5.8,7.3,2.9,0.44,0.3,0.26
 Boa constrictor(s),0.22,0.05,6.9,8.5,2.9,0.22,0.19,0.26
 Boa,0.14,0.02,4,4.9,3,0.22,0.11,0
Anaconda,0.21,0.02,5.2,5,3.8,0.2,0.27,0.17
Copperhead,0.17,0.04,4.9,5.1,3,0.08,0.16,0.35
Black snake,0.14,0.01,4,5.6,3.5,0.02,0.15,0.37
Viper,0.13,0.03,4.1,4,3,0.15,0.11,0.08
Water,0.09,,4.8,,4.2,0.07,0.09,0.12
Diamondback,0.08,,6.1,,3.6,0.08,0.05,0.09
King snake,0.08,0.01,4.3,6.3,3.7,0.09,0.04,0.1
Coral snake,0.06,0.01,3.8,4.5,4.1,0.06,0.05,0.06
Green snake,0.06,,3.5,,4.2,0.04,0.03,0.13
Poisonous,0.06,0.01,7.5,7.2,3.4,0.04,0.07,0.07
Corn,0.05,0.01,4.1,5.7,3.8,0.04,0.04,0.06
Cottonmouth,0.05,0.01,5.8,7.4,3.6,0.03,0.03,0.11
,,,,,,,,
54. A city,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-639,,Overall,First,,-319,-149,-170
New York (City),0.63,0.19,4.2,4.9,3,0.58,0.76,0.6
 New York,0.41,0.12,4.2,4.9,3,0.55,0.6,0
 New York City,0.19,0.06,4.4,5.1,3.2,0,0.13,0.6
 N.Y.,0.02,,2.5,,2.5,0.03,0.03,0
Denver,0.35,0.13,3.3,4.7,2.6,0.67,0.05,0.01
Los Angeles/LA,0.35,0.03,3.9,5,4.3,0.42,0.37,0.21
 Los Angeles,0.23,0.02,4.5,5.3,4.4,0.24,0.24,0.21
 LA,0.12,0.01,2.8,4.1,4.2,0.18,0.13,0
Chicago,0.24,0.03,3.8,4.7,3.9,0.26,0.27,0.16
San Francisco,0.22,0.02,5.5,6.1,4.7,0.25,0.27,0.12
Boulder,0.2,0.03,2.8,4.2,3.2,0.39,0,0.01
Greensboro,0.19,0.05,4.2,5.1,2.3,0,0,0.71
Miami,0.16,,3.4,,5.7,0.15,0.21,0.13
Washington D.C.,0.16,0.02,3.9,4.6,3.7,0.08,0.46,0.07
 Washington D.C.,0.1,,4.4,,4.1,0.06,0.21,0.07
 D.C.,0.05,0.01,2.8,3.5,3.3,0.02,0.18,0
 Washington,0.02,,4.3,,2.5,0,0.07,0
Boston,0.15,0.02,3,3.7,4.3,0.21,0.15,0.05
Atlanta,0.13,0.01,3.9,4.1,4.7,0.07,0.16,0.21
Baltimore,0.12,0.04,3.7,4.3,3.1,0.02,0.43,0.02
Dallas,0.12,0.01,2.9,3.8,4.9,0.14,0.1,0.08
San Diego,0.12,,4.3,,5.4,0.16,0.09,0.05
Charlotte,0.1,0.02,4.1,4.8,3.5,0,0.01,0.35
Raleigh,0.1,0.01,3.5,3.9,3.9,0.01,0.01,0.35
Houston,0.09,0.01,3.8,6.2,5,0.11,0.08,0.06
Seattle,0.09,0.01,3.2,3.7,4.9,0.11,0.11,0.05
Paris,0.08,,2.4,,4.9,0.06,0.07,0.12
Detroit,0.07,0.01,3.7,4.6,4.2,0.1,0.04,0.04
New Orleans,0.06,,4.6,,6.4,0.03,0.13,0.03
Philadelphia,0.06,0.01,5.6,5.8,3.8,0.03,0.13,0.04
Austin,0.05,,3,,5.8,0.08,0.03,0.02
London,0.05,0.01,3.3,5,4.9,0.03,0.07,0.05
Orlando,0.05,,3.3,,5.5,0.03,0.08,0.06
,,,,,,,,
55. A state,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-664,,Overall,First,,-332,-150,-182
California,0.66,0.07,3.6,5,4.4,0.7,0.67,0.56
New York,0.56,0.04,3.5,3.8,4.4,0.49,0.63,0.62
Colorado,0.47,0.22,3.3,3.9,2.5,0.85,0.11,0.08
Florida,0.45,0.02,2.9,4,5.5,0.35,0.55,0.53
North Carolina,0.33,0.2,4.7,5.2,2.5,0.06,0.17,0.93
Texas,0.29,0.02,2.8,3.6,5.7,0.31,0.29,0.26
Maryland,0.28,0.13,3.3,4,2.9,0.06,0.95,0.15
Virginia,0.23,0.01,3.4,4,4.6,0.08,0.41,0.37
Alabama,0.22,0.04,3.6,5,4.3,0.25,0.19,0.2
South Carolina,0.22,,3.8,,4,0.05,0.13,0.62
Washington,0.22,0.01,3.8,6.2,5.9,0.26,0.13,0.2
New Jersey,0.21,0.03,3.5,3.6,4.9,0.14,0.35,0.23
Georgia,0.2,0.01,3.4,5,5.7,0.12,0.21,0.36
Arizona,0.19,0.01,3.1,4,5.1,0.26,0.16,0.08
Maine,0.19,0.01,2.5,3.9,6,0.16,0.27,0.16
Alaska,0.16,0.01,2.5,3.9,5.1,0.19,0.19,0.08
Ohio,0.14,0.01,2.4,2.8,5.8,0.14,0.15,0.13
Pennsylvania,0.14,0.02,4.4,4.9,4.5,0.08,0.32,0.1
Oregon,0.13,,3,,6.3,0.19,0.11,0.05
Utah,0.13,,2.5,,5.6,0.18,0.07,0.1
Nevada,0.12,,3,,5.7,0.16,0.09,0.08
New Mexico,0.12,,3.7,,6.3,0.18,0.08,0.04
Arkansas,0.11,,3.1,,5.5,0.13,0.11,0.07
Delaware,0.11,,3.4,,6,0.08,0.25,0.05
Hawaii,0.1,,2.5,,6.3,0.12,0.09,0.05
Idaho,0.1,,2.7,,6.2,0.14,0.09,0.04
Michigan,0.1,0.01,3.1,3.7,5.9,0.08,0.13,0.09
Connecticut,0.09,0.01,3.4,4.3,6.1,0.08,0.14,0.06
Kansas,0.09,,3,,6.3,0.11,0.07,0.06
Tennessee,0.09,,3.1,,6.2,0.06,0.07,0.18
Illinois,0.08,0.01,3.4,4.8,4.9,0.09,0.07,0.06
Iowa,0.08,,2.3,,6,0.09,0.07,0.04
Massachusetts,0.08,0.01,4.4,5.7,4.9,0.08,0.13,0.04
Mississippi,0.08,,4,,5.5,0.08,0.07,0.09
Montana,0.08,,2.8,,6.4,0.11,0.08,0.03
Wyoming,0.08,,2.9,,5.8,0.12,0.04,0.03
Minnesota,0.07,0.02,3.6,4.6,4.9,0.1,0.06,0.03
New Hampshire,0.07,,4.4,,6.4,0.06,0.1,0.07
Vermont,0.07,,2.7,,6.4,0.07,0.13,0.04
Indiana,0.06,,2.6,,6.5,0.05,0.08,0.05
Nebraska,0.06,,3.5,,5.2,0.1,0.02,0.03
North Dakota,0.06,,4,,7.6,0.04,0.07,0.08
Oklahoma,0.06,,3.8,,5.8,0.07,0.07,0.05
Kentucky,0.05,,3.6,,7,0.05,0.07,0.05
Louisiana,0.05,,3.9,,6.9,0.07,0.06,0.03
Missouri,0.05,,3.1,,5.5,0.07,0.03,0.03
Rhode Island,0.05,,4.3,,6,0.02,0.09,0.05
South Dakota,0.05,,3.4,,7.6,0.03,0.04,0.09
Wisconsin,0.05,,3.4,,5.7,0.05,0.06,0.03
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
57. A drug,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-650,,Overall,First,,-334,-150,-166
Marijuana,0.88,0.41,5.3,6,2.1,0.9,0.85,0.85
 Marijuana,0.65,0.29,5.7,6.5,2.1,0.58,0.57,0.85
 Pot,0.12,0.07,4.4,4.8,2.1,0.2,0.09,0
 Weed,0.11,0.05,3.9,4.6,2.1,0.12,0.19,0
Cocaine/coke,0.7,0.13,4.1,6,2.9,0.74,0.63,0.69
 Cocaine,0.63,0.12,4.2,6.1,2.8,0.61,0.63,0.65
 Coke,0.08,0.01,3,4.7,3.4,0.13,0,0.04
Heroin,0.46,0.04,4,5.3,3.8,0.51,0.51,0.33
Ecstasy,0.34,0.06,6,7,3.5,0.3,0.49,0.3
Alcohol,0.25,0.04,5,8.1,3.6,0.26,0.27,0.2
LSD,0.23,0.02,3.7,4.3,3.9,0.23,0.3,0.16
Crack,0.22,0.01,3.7,4.4,4,0.18,0.25,0.28
Tylenol,0.2,0.05,5.4,7.3,3.1,0.18,0.23,0.2
Aspirin,0.14,0.06,5.1,6.1,2.6,0.16,0.15,0.12
Mushroom(s),0.13,,5,,5.1,0.18,0.13,0.04
Acid,0.12,,3.7,,4.5,0.16,0.09,0.09
Advil,0.11,,3.3,,3.6,0.12,0.13,0.09
Speed,0.09,,4.1,,4.3,0.1,0.05,0.11
Nicotine,0.08,0.01,4.1,5.6,4.2,0.09,0.08,0.06
Caffeine,0.07,0.01,4.1,5.2,3.6,0.06,0.09,0.07
Morphine,0.06,0.02,5.3,6,3.3,0.05,0.06,0.08
PCP,0.06,,3.5,,4.4,0.09,0.01,0.06
Opium,0.05,0.01,4.5,6,4.5,0.04,0.07,0.05
Penicillin,0.05,0.01,6.2,7.4,3.1,0.07,0.04,0.04
Vicaden,0.05,,5,,4.4,0.09,0.01,0.01
,,,,,,,,
58. A type of car,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-643,,Overall,First,,-325,-150,-169
Ford,0.44,0.09,2.9,4.3,3.6,0.49,0.38,0.4
Honda,0.41,0.14,3.6,4.7,3,0.37,0.38,0.52
Toyota,0.31,0.04,4.2,5.6,4.2,0.33,0.27,0.31
BMW,0.3,0.04,3.4,4.9,4,0.35,0.3,0.22
Chevrolet/Chevy,0.27,0.01,4,6,4.3,0.28,0.23,0.3
 Chevrolet,0.23,0.01,4.1,5.6,4.3,0.28,0.06,0.3
 Chevy,0.04,,3.3,,4.7,0,0.17,0
Mercedes (Benz),0.25,0.05,4.2,5.3,3.9,0.26,0.33,0.16
 Mercedes,0.23,0.04,4,5.2,3.9,0.26,0.28,0.15
 Mercedes Benz,0.02,,6.3,,4.8,0.01,0.05,0.01
Jeep,0.19,0.03,3.3,4.5,4.1,0.22,0.15,0.15
Porsche,0.15,0.03,4.3,5.5,4,0.19,0.09,0.12
Lexus,0.14,0.02,3.2,4.1,4.1,0.14,0.16,0.13
Nissan,0.14,0.01,3.5,6.9,4.8,0.14,0.12,0.16
Dodge,0.13,0.01,3.6,3.9,5.2,0.15,0.09,0.12
Mustang,0.13,0.04,4,4.8,2.8,0.11,0.13,0.17
SUV,0.13,0.02,3.6,6.2,3.9,0.15,0.13,0.08
Truck(s),0.12,0.02,3.5,4.9,3.9,0.12,0.14,0.11
Volkswagen,0.12,0.02,5.6,9.3,3.9,0.14,0.12,0.08
 Volkswagen,0.1,0.02,5.9,9.3,3.8,0.14,0.09,0.05
 VW,0.02,,4.1,,4.4,0,0.03,0.03
Ferrari,0.11,0.02,4.1,4.5,4.1,0.14,0.07,0.09
Audi,0.09,0.02,3.1,3.5,4.1,0.13,0.08,0.04
Mazda,0.09,0.02,4.5,5.3,3.1,0.08,0.09,0.11
Sedan,0.09,0.02,3.6,6.2,3.8,0.1,0.09,0.07
Sport(s),0.09,0.03,4.9,5.7,2.8,0.09,0.11,0.08
Volvo,0.09,0.03,3.6,4.5,3.5,0.1,0.09,0.09
Acura,0.08,0.01,3.1,5,4.1,0.06,0.09,0.09
Jaguar,0.08,0.01,3.6,4,4.2,0.11,0.05,0.07
Convertible,0.07,0.01,5.3,6.8,3.5,0.06,0.1,0.05
Corvette,0.07,0.01,4.3,5.7,3.9,0.09,0.05,0.07
Mitsubishi,0.07,0.01,5.2,7.4,4.5,0.05,0.11,0.07
Van,0.07,0.01,3.4,5.6,4.1,0.06,0.15,0.04
Cadillac,0.06,,4.2,,4.8,0.06,0.05,0.08
Civic,0.06,0.01,3,4.5,4,0.04,0.07,0.08
Subaru,0.06,0.01,4.2,5,4.3,0.08,0.04,0.03
Camry,0.05,0.01,3.9,4.4,3.7,0.03,0.05,0.09
Chrysler,0.05,,4.6,,5.6,0.06,0.01,0.05
GMC,0.05,,3.5,,5.2,0.05,0.04,0.05
Hyundai,0.05,,4.5,,5.3,0.04,0.06,0.07
Lamborghini,0.05,,5,,4.6,0.06,0.04,0.02
Minivan,0.05,,3.9,,4.2,0.03,0.06,0.07
Saab,0.05,0.01,3.5,3.5,4.3,0.07,0.03,0.03
Saturn,0.05,0.01,3.7,4.6,3.4,0.04,0.07,0.06
,,,,,,,,
59. A liquid,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-646,,Overall,First,,-327,-150,-170
Water,1,0.87,3.3,3.5,1.2,0.98,1,1
Juice(s),0.52,0.01,4.5,4.4,3.3,0.54,0.67,0.37
Soda/pop,0.52,0.02,3.6,4.2,3.3,0.53,0.58,0.46
 Soda,0.46,0.02,3.7,4.3,3.2,0.42,0.57,0.43
 Pop,0.06,,3.2,,3.6,0.11,0.01,0.03
Milk,0.35,0.02,3.9,3.7,3.3,0.41,0.32,0.26
Beer,0.26,0.02,3.5,3.7,3.5,0.29,0.22,0.22
Alcohol,0.15,,5.4,,4,0.17,0.14,0.12
Oil(s),0.12,,4.3,,4.4,0.13,0.11,0.09
Coke/Coca cola,0.11,0.01,3.8,4.1,3.7,0.12,0.03,0.17
 Coke,0.06,0.01,4.2,4.5,3.9,0.11,0.03,0
 Coca Cola,0.05,,3.2,,3.5,0.01,0,0.17
Orange juice,0.11,,5.2,,3.7,0.14,0.07,0.09
Coffee,0.1,,4.5,,4.6,0.1,0.14,0.08
Tea,0.1,,3.9,,4.3,0.07,0.09,0.16
Blood,0.09,,5.1,,3.9,0.09,0.09,0.08
Wine,0.09,,3.6,,4.6,0.08,0.11,0.09
Mercury,0.08,,5.3,,3.7,0.08,0.07,0.07
Gasoline,0.07,,5.4,,4.2,0.07,0.09,0.04
Rain,0.07,,5.8,,4.4,0.05,0.1,0.09
Urine,0.07,,6.2,,4.6,0.06,0.11,0.06
Gatorade,0.06,,6.7,,4.1,0.08,0.01,0.05
Lemonade,0.06,,5.4,,4.6,0.05,0.06,0.06
Apple juice,0.05,,6.4,,4.4,0.05,0.05,0.06
Gas,0.05,,3,,3.6,0.06,0,0.07
Kool-Aid,0.05,,5.4,,3.5,0.03,0.04,0.11
Liquor(s),0.05,,4.4,,4.3,0.03,0.03,0.09
Sprite,0.05,,3.2,,4.9,0.03,0.01,0.1
,,,,,,,,
60. A thing women wear,,,,,,,,
Response,Total,First,RT,RT,Rank,UCB,UMCP,UNCG
,-703,,Overall,First,,-372,-149,-181
Bra(s),0.66,0.26,3.2,4.1,2.9,0.67,0.68,0.63
Skirt(s),0.61,0.11,3.4,5.2,3.3,0.63,0.62,0.55
Dress(es),0.51,0.15,3.4,4.5,3,0.58,0.47,0.41
Panties/underwear,0.38,0.04,3.7,5.5,3.7,0.37,0.29,0.48
 Panties,0.21,0.02,3.5,6.1,3.6,0.18,0.13,0.33
 Underwear,0.17,0.02,3.9,5,3.9,0.19,0.16,0.15
Shirt(s),0.35,0.04,3.3,5.3,3.7,0.35,0.29,0.38
(High) heels,0.33,0.02,4.7,6.7,4.7,0.31,0.39,0.32
 High heels,0.27,0.02,4.9,6.9,4.7,0.26,0.31,0.23
 Heels,0.07,,4,,4.5,0.05,0.08,0.09
Pants,0.3,0.01,2.8,5.1,4.6,0.34,0.21,0.3
Shoes,0.3,0.06,2.8,4,4.6,0.32,0.23,0.33
Blouse(s),0.29,0.03,3.6,5.3,3.9,0.33,0.22,0.25
Makeup,0.28,0.01,3.9,6.4,5,0.29,0.29,0.24
Pantyhose/stockings,0.28,0.01,4.6,5.5,5.3,0.28,0.23,0.29
 Pantyhose,0.13,,4.7,,5.2,0.15,0.09,0.13
 Stockings,0.09,,5.1,,5.1,0.07,0.11,0.09
 Hose,0.03,,3.8,,5.6,0.02,0.01,0.07
 Nylons,0.03,,3.4,,5.6,0.05,0.01,0
Earrings,0.21,0.03,3.8,5.3,4.8,0.21,0.22,0.19
Hat(s),0.19,0.04,3,3.5,4.6,0.18,0.2,0.21
Jewelry,0.16,0.01,5.1,6.6,4.9,0.18,0.13,0.14
Necklace(s),0.15,0.02,4.1,6.8,5,0.15,0.15,0.17
Sock(s),0.15,,2.8,,6.3,0.15,0.15,0.15
Thong(s),0.15,0.04,3.4,4.6,3.7,0.16,0.15,0.14
Ring(s),0.12,,3.2,,6.1,0.1,0.12,0.15
Perfume,0.09,0.01,4,5.3,4.8,0.08,0.1,0.09
Bracelet(s),0.08,,4.1,,6,0.06,0.12,0.1
Lipstick,0.08,0.01,4.1,6.8,5.1,0.08,0.09,0.07
Scarf(ves),0.08,0.01,3.5,4.6,4.7,0.08,0.09,0.07
Shorts,0.07,,2.6,,5.9,0.08,0.08,0.04
Sweater(s),0.07,,3.6,,5.5,0.08,0.07,0.06
Jeans,0.06,,2.7,,5.4,0.07,0.06,0.04
Tank top(s),0.06,,4.4,,5.3,0.06,0.09,0.05
Jacket/coat,0.05,,2.9,,5.3,0.04,0.07,0.03
 Jacket(s),0.03,,3,,5.6,0.03,0.05,0.02
 Coat(s),0.02,,2.7,,4.9,0.02,0.02,0.02
Purse(s),0.05,0.01,3.3,4.2,5.3,0.05,0.05,0.05
